cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img1.od-cdn.com/ImageType-100/0439-1/{E8F01C52-D24C-4070-AF68-A28BC2022F38}IMG100.JPG,The River Is Waiting,Wally Lamb,Scribner,9781668006412,"February 17, 2026 01:01",Returned,LION: Libraries Online, 2 days  early
https://img2.od-cdn.com/ImageType-100/0111-1/{44CC6C2F-2792-4134-AC57-76132FAFA668}IMG100.JPG,The Frozen River,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385546881,"February 15, 2026 12:14",Hold expired,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0111-1/{638AF1CC-CCEB-4C9A-91B0-26CB368E04B0}IMG100.JPG,I Was Anastasia,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385541701,"February 13, 2026 23:56",Hold expired,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/2343-1/{15610205-6E69-4350-8639-DFCD398EBAB4}IMG100.JPG,The Teacher,Freida McFadden,Hollywood Upstairs Press,9781666652536,"February 13, 2026 18:24",Returned,LION: Libraries Online, 5 days  early
https://img2.od-cdn.com/ImageType-100/0439-1/{FDD4DB90-BE8B-41A6-8796-732348EC2F77}Img100.jpg,The Life We Bury,Allen Eskens,Seventh Street Books,"","February 09, 2026 02:19",Hold expired,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/0111-1/{9B739A94-5608-4846-AFD9-98F0B60BFF84}IMG100.JPG,The Correspondent,Virginia Evans,Crown,9780593798447,"February 08, 2026 01:48",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/5054-1/{61CD8121-5A5C-48EC-A7EA-CF05CC680555}IMG100.JPG,Theo of Golden,Allen Levi,Simon Maverick,9781668173107,"February 08, 2026 01:45",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0439-1/{7A7A296D-89B9-465C-9A6A-39466244CABE}IMG100.JPG,Theo of Golden,Allen Levi,Atria Books,9781668236536,"February 08, 2026 01:45",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0293-1/{28754DBB-4055-4074-9C99-1FDD4836A6FA}Img100.jpg,The Dutch House,Ann Patchett,HarperCollins,9780062963703,"February 06, 2026 19:29",Returned,LION: Libraries Online,on due date
https://img1.od-cdn.com/ImageType-100/2343-1/{15610205-6E69-4350-8639-DFCD398EBAB4}IMG100.JPG,The Teacher,Freida McFadden,Hollywood Upstairs Press,9781666652536,"February 05, 2026 17:15",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/0439-1/{E8F01C52-D24C-4070-AF68-A28BC2022F38}IMG100.JPG,The River Is Waiting,Wally Lamb,Scribner,9781668006412,"February 05, 2026 16:43",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/2343-1/{15610205-6E69-4350-8639-DFCD398EBAB4}IMG100.JPG,The Teacher,Freida McFadden,Hollywood Upstairs Press,9781666652536,"February 05, 2026 12:21",Placed on hold,LION: Libraries Online
